,children,days_employed,dob_years,education_id,family_status_id,gender,income_type,debt,total_income,purpose,total_income_category,purpose_category
6247,0,361895.58740573976,56,1,2,f,пенсионер,0,220961,покупка жилья для семьи,B,операции с недвижимостью
6248,2,2827.277590294783,52,1,0,m,компаньон,0,261253,покупка коммерческой недвижимости,B,операции с недвижимостью
6249,0,3077.614136749641,28,1,0,f,сотрудник,0,168756,на покупку своего автомобиля,C,операции с автомобилем
6250,0,6023.132303419343,46,1,2,f,сотрудник,0,178193,покупка коммерческой недвижимости,C,операции с недвижимостью
6251,3,3630.263557192802,38,1,0,f,сотрудник,0,242161,покупка жилья для сдачи,B,операции с недвижимостью
6252,0,7601.6369869729615,39,1,4,f,компаньон,0,174227,жилье,C,операции с недвижимостью
6253,2,524.7197960789772,47,1,0,m,сотрудник,0,131056,на покупку своего автомобиля,C,операции с автомобилем
6254,0,1753.7954361793734,60,1,4,m,сотрудник,0,349668,приобретение автомобиля,B,операции с автомобилем
6255,0,1203.369528770489,41,1,0,f,сотрудник,0,145017,строительство недвижимости,C,операции с недвижимостью
6256,0,2385.358043088401,26,0,0,f,госслужащий,0,131489,покупка недвижимости,C,операции с недвижимостью
6257,0,5141.9044584788535,36,0,0,f,сотрудник,0,551844,строительство собственной недвижимости,B,операции с недвижимостью
6258,0,184.51096010947467,40,1,0,m,сотрудник,0,458670,получение образования,B,операции с недвижимостью
6259,0,714.3361082450972,31,1,4,f,компаньон,0,126659,на покупку автомобиля,C,операции с автомобилем
6260,0,300.97845621324745,41,0,1,f,сотрудник,0,205948,свадьба,B,операции с недвижимостью
6261,0,3176.177351996424,42,1,4,f,компаньон,0,145909,высшее образование,C,операции с недвижимостью
6262,0,132.61623367587734,29,0,0,f,госслужащий,1,275670,высшее образование,B,операции с недвижимостью
6263,0,381.8428196930892,58,1,2,f,сотрудник,0,134163,покупка жилой недвижимости,C,операции с недвижимостью
6264,0,1203.369528770489,57,1,2,f,пенсионер,0,145017,автомобили,C,операции с автомобилем
6265,1,373240.5491226289,66,1,0,m,пенсионер,0,61648,сделка с автомобилем,C,операции с автомобилем
6266,0,368813.8936957488,57,1,0,f,пенсионер,0,51242,операции со своей недвижимостью,C,операции с недвижимостью
6267,0,4837.973361646407,66,0,0,m,госслужащий,0,199903,покупка своего жилья,C,операции с недвижимостью
6268,0,2026.040491869454,32,0,1,f,сотрудник,0,144915,автомобили,C,операции с автомобилем
6269,0,4621.035332738827,33,0,1,m,компаньон,0,438928,сыграть свадьбу,B,операции с недвижимостью
6270,1,3042.219083751417,36,1,0,f,компаньон,0,162438,операции с коммерческой недвижимостью,C,операции с недвижимостью
6271,0,1953.5649028208863,54,1,0,f,сотрудник,0,108199,заняться образованием,C,операции с недвижимостью
6272,0,2761.4844529972365,71,1,0,m,компаньон,0,203055,автомобили,B,операции с автомобилем
6273,0,4094.700698113045,48,1,0,f,компаньон,0,288808,покупка коммерческой недвижимости,B,операции с недвижимостью
6274,2,3704.932678790008,37,1,0,f,компаньон,0,205761,операции со своей недвижимостью,B,операции с недвижимостью
6275,2,3611.4492814200817,44,0,0,f,компаньон,0,125438,операции с коммерческой недвижимостью,C,операции с недвижимостью
6276,0,646.5816773163746,29,1,0,f,сотрудник,0,129971,получение образования,C,операции с недвижимостью
6277,0,10551.922137815123,53,1,0,f,госслужащий,0,218674,сделка с автомобилем,B,операции с автомобилем
6278,0,2716.465908419127,48,1,1,f,сотрудник,0,307516,недвижимость,B,операции с недвижимостью
6279,1,1202.7610433994157,35,1,0,f,сотрудник,0,96988,приобретение автомобиля,C,операции с автомобилем
6280,0,115.36841448351898,52,1,0,f,сотрудник,0,379053,высшее образование,B,операции с недвижимостью
6281,0,1370.6789184571996,27,0,0,f,сотрудник,0,181793,покупка жилья,C,операции с недвижимостью
6282,0,363613.47776988655,55,1,2,f,пенсионер,0,66204,заняться высшим образованием,C,операции с недвижимостью
6283,0,1913.2329529161432,43,1,2,f,сотрудник,0,126955,операции со своей недвижимостью,C,операции с недвижимостью
6284,0,1124.6196275006782,35,1,0,f,сотрудник,0,213148,свой автомобиль,B,операции с автомобилем
6285,0,1155.710965207647,25,2,4,m,сотрудник,0,145138,на покупку автомобиля,C,операции с автомобилем
6286,1,3316.201813276617,34,1,2,f,компаньон,1,142239,образование,C,операции с недвижимостью
6287,0,1376.8784911652976,31,1,1,f,сотрудник,0,55270,получение высшего образования,C,операции с недвижимостью
6288,1,1757.3446916874757,45,1,0,f,компаньон,0,198542,приобретение автомобиля,C,операции с автомобилем
6289,2,6720.656975631115,48,1,0,m,сотрудник,0,216533,покупка жилья для сдачи,B,операции с недвижимостью
6290,0,3034.837032633493,58,1,3,f,компаньон,0,174501,свой автомобиль,C,операции с автомобилем
6291,0,278.1571126218174,34,0,1,m,компаньон,0,203878,покупка коммерческой недвижимости,B,операции с недвижимостью
6292,0,1139.649271700135,25,1,4,m,сотрудник,0,231812,операции с жильем,B,операции с недвижимостью
6293,0,3690.787098865841,53,1,3,f,сотрудник,1,276281,профильное образование,B,операции с недвижимостью
6294,0,679.1044866352985,47,1,0,f,сотрудник,0,196944,свой автомобиль,C,операции с автомобилем
6295,0,4334.282878240364,43,1,0,f,сотрудник,0,104949,получение высшего образования,C,операции с недвижимостью
6296,2,1402.1477511078808,27,0,0,f,сотрудник,0,398037,образование,B,операции с недвижимостью
6297,0,3090.0118011743525,32,1,0,f,сотрудник,0,115334,покупка недвижимости,C,операции с недвижимостью
6298,0,3221.329933190358,53,1,0,f,сотрудник,0,170230,сделка с автомобилем,C,операции с автомобилем
6299,3,3130.572402849021,40,1,0,f,сотрудник,0,176677,заняться высшим образованием,C,операции с недвижимостью
6300,0,404.968719177122,25,1,4,m,сотрудник,1,80039,операции с недвижимостью,C,операции с недвижимостью
6301,1,670.44887229888,29,1,0,m,сотрудник,1,142495,автомобили,C,операции с автомобилем
6302,2,1698.85846914256,38,1,0,f,сотрудник,0,80586,покупка жилья для сдачи,C,операции с недвижимостью
6303,0,9281.993545148229,57,1,0,m,компаньон,0,122860,ремонт жилью,C,операции с недвижимостью
6304,0,1203.369528770489,22,1,0,f,сотрудник,0,145017,сделка с подержанным автомобилем,C,операции с автомобилем
6305,0,248.70623857454584,26,0,3,f,компаньон,0,169125,покупка своего жилья,C,операции с недвижимостью
6306,2,1394.3022464686371,30,0,0,f,компаньон,0,196428,на покупку автомобиля,C,операции с автомобилем
6307,0,369573.160998384,54,1,2,f,пенсионер,0,210528,покупка жилья для семьи,B,операции с недвижимостью
6308,1,1008.784193293142,22,1,0,f,сотрудник,0,100614,жилье,C,операции с недвижимостью
6309,0,2300.117386710022,31,1,0,f,сотрудник,0,102295,дополнительное образование,C,операции с недвижимостью
6310,0,2232.3230704502885,52,0,0,m,сотрудник,0,233655,автомобили,B,операции с автомобилем
6311,2,2380.0369539263684,34,1,1,f,сотрудник,0,134363,свадьба,C,операции с недвижимостью
6312,0,1203.369528770489,30,1,0,m,сотрудник,0,145017,строительство жилой недвижимости,C,операции с недвижимостью
6313,0,378203.0529881444,64,1,0,f,пенсионер,0,94535,строительство жилой недвижимости,C,операции с недвижимостью
6314,0,1203.369528770489,32,0,4,f,госслужащий,0,145017,профильное образование,C,операции с недвижимостью
6315,0,941.5004214593398,33,1,1,f,сотрудник,0,129765,на проведение свадьбы,C,операции с недвижимостью
6316,0,839.7100936262773,22,2,1,f,компаньон,0,86692,строительство жилой недвижимости,C,операции с недвижимостью
6317,0,1539.3726233369086,26,1,0,f,сотрудник,0,97709,на покупку своего автомобиля,C,операции с автомобилем
6318,0,370903.27653439005,56,1,0,m,пенсионер,0,150995,жилье,C,операции с недвижимостью
6319,1,1704.4242714064053,33,1,0,m,сотрудник,0,155791,получение высшего образования,C,операции с недвижимостью
6320,0,1394.9864322798987,50,1,0,m,сотрудник,0,151754,операции со своей недвижимостью,C,операции с недвижимостью
6321,0,1462.7022729505304,43,1,0,f,сотрудник,0,110733,на покупку автомобиля,C,операции с автомобилем
6322,2,1472.5651229896946,33,0,0,f,сотрудник,0,290709,операции с недвижимостью,B,операции с недвижимостью
6323,0,400691.3996837423,56,1,1,f,пенсионер,0,381408,на покупку подержанного автомобиля,B,операции с автомобилем
6324,0,1203.369528770489,67,1,2,f,пенсионер,0,145017,строительство собственной недвижимости,C,операции с недвижимостью
6325,1,4929.195349320775,51,1,1,f,госслужащий,0,94120,сыграть свадьбу,C,операции с недвижимостью
6326,0,4897.166064692195,60,1,0,f,компаньон,0,128152,недвижимость,C,операции с недвижимостью
6327,0,2681.5071275461714,28,1,0,m,компаньон,0,216042,сделка с подержанным автомобилем,B,операции с автомобилем
6328,1,1821.0482621253293,44,1,0,m,сотрудник,0,286482,покупка коммерческой недвижимости,B,операции с недвижимостью
6329,0,372452.58431681775,66,1,2,f,пенсионер,0,161994,операции с жильем,C,операции с недвижимостью
6330,0,356.0464932301534,36,1,4,m,сотрудник,0,108688,на покупку подержанного автомобиля,C,операции с автомобилем
6331,1,966.3962217417024,27,1,1,m,сотрудник,0,94435,сыграть свадьбу,C,операции с недвижимостью
6332,0,376614.4384141608,52,0,1,f,пенсионер,0,373999,покупка коммерческой недвижимости,B,операции с недвижимостью
6333,1,216.7863026105624,42,0,0,f,компаньон,0,118906,покупка жилой недвижимости,C,операции с недвижимостью
6334,1,2209.360917171051,39,1,0,m,сотрудник,0,157416,операции со своей недвижимостью,C,операции с недвижимостью
6335,0,353726.0822435999,57,1,2,f,пенсионер,0,108204,заняться образованием,C,операции с недвижимостью
6336,0,341658.1693982362,65,1,0,f,пенсионер,0,103583,покупка жилья,C,операции с недвижимостью
6337,0,2296.67616720751,53,0,0,m,сотрудник,0,160648,операции со своей недвижимостью,C,операции с недвижимостью
6338,0,1793.4221525519,35,0,0,f,компаньон,1,198681,покупка жилья для семьи,C,операции с недвижимостью
6339,0,1280.9894914785043,30,1,0,m,сотрудник,0,129495,жилье,C,операции с недвижимостью
6340,1,4560.887358801958,39,1,0,m,компаньон,0,132848,ремонт жилью,C,операции с недвижимостью
6341,1,654.6143541290281,33,0,0,m,сотрудник,0,220374,на покупку своего автомобиля,B,операции с автомобилем
6342,0,280.984994345212,22,0,4,m,сотрудник,0,140207,операции с недвижимостью,C,операции с недвижимостью
6343,0,1005.9049847516568,33,0,0,m,сотрудник,0,231720,дополнительное образование,B,операции с недвижимостью
6344,0,1306.3955303635148,20,1,3,m,сотрудник,0,196348,операции с жильем,C,операции с недвижимостью
6345,1,471.2046691786723,31,0,0,f,сотрудник,0,166722,покупка недвижимости,C,операции с недвижимостью
6346,1,2633.221362650165,36,1,0,m,сотрудник,0,120255,жилье,C,операции с недвижимостью
6347,2,2884.6727961256315,42,1,0,f,сотрудник,0,106602,ремонт жилью,C,операции с недвижимостью
6348,2,1761.8759656532727,45,1,0,f,сотрудник,0,102045,покупка недвижимости,C,операции с недвижимостью
6349,0,1203.369528770489,41,0,4,f,сотрудник,0,145017,покупка жилья для сдачи,C,операции с недвижимостью
6350,0,1203.369528770489,52,1,2,f,сотрудник,0,145017,сделка с подержанным автомобилем,C,операции с автомобилем
6351,0,1598.1013420679858,39,1,0,f,сотрудник,0,123145,покупка жилья для сдачи,C,операции с недвижимостью
6352,0,361489.239105955,64,1,4,f,пенсионер,0,291969,автомобили,B,операции с автомобилем
6353,0,358207.39291843993,63,1,4,f,пенсионер,0,128303,получение образования,C,операции с недвижимостью
6354,0,384995.50122901966,43,1,4,m,пенсионер,1,95013,заняться высшим образованием,C,операции с недвижимостью
6355,0,373802.9270146736,61,1,0,f,пенсионер,1,53807,на покупку подержанного автомобиля,C,операции с автомобилем
6356,1,2786.268376077393,42,1,0,m,компаньон,0,305988,на покупку автомобиля,B,операции с автомобилем
6357,0,582.2648716267931,46,0,4,m,компаньон,0,173126,автомобили,C,операции с автомобилем
6358,0,561.2494209208777,25,1,4,m,сотрудник,0,191244,операции с недвижимостью,C,операции с недвижимостью
6359,2,134.97868966087708,29,0,1,f,сотрудник,0,270381,на проведение свадьбы,B,операции с недвижимостью
6360,0,408.6303284826845,30,1,4,m,госслужащий,0,129039,недвижимость,C,операции с недвижимостью
6361,2,4978.292764021174,35,1,4,m,сотрудник,0,104969,сделка с автомобилем,C,операции с автомобилем
6362,0,5475.822929559392,53,1,0,f,сотрудник,0,132845,покупка жилья для сдачи,C,операции с недвижимостью
6363,1,1203.369528770489,35,1,0,m,сотрудник,0,145017,жилье,C,операции с недвижимостью
6364,1,2576.74086226174,41,1,1,f,сотрудник,0,87199,строительство жилой недвижимости,C,операции с недвижимостью
6365,1,1203.369528770489,53,1,0,f,пенсионер,0,145017,образование,C,операции с недвижимостью
6366,0,1203.369528770489,62,1,3,f,пенсионер,0,145017,приобретение автомобиля,C,операции с автомобилем
6367,0,398039.4875389704,48,1,0,m,пенсионер,0,94289,дополнительное образование,C,операции с недвижимостью
6368,1,1059.1437549360005,29,0,0,m,госслужащий,0,108089,операции с недвижимостью,C,операции с недвижимостью
6369,0,681.6059978103262,29,0,0,f,сотрудник,0,36377,профильное образование,D,операции с недвижимостью
6370,0,402.9747675041901,22,1,4,m,сотрудник,1,397168,свой автомобиль,B,операции с автомобилем
6371,0,1071.3900379952574,24,0,4,f,сотрудник,0,79597,ремонт жилью,C,операции с недвижимостью
6372,1,3310.3264107181794,30,1,4,m,сотрудник,0,97784,покупка жилья для семьи,C,операции с недвижимостью
6373,0,946.3235446738428,55,1,0,f,сотрудник,0,177062,заняться высшим образованием,C,операции с недвижимостью
6374,0,825.6443629727817,28,1,1,m,сотрудник,0,146125,на покупку автомобиля,C,операции с автомобилем
6375,0,2321.689312440738,23,2,4,f,компаньон,0,123430,на покупку подержанного автомобиля,C,операции с автомобилем
6376,0,2792.7104418527947,47,0,0,f,компаньон,1,165433,операции со своей недвижимостью,C,операции с недвижимостью
6377,1,1198.1812283590948,29,1,3,f,сотрудник,0,153247,строительство жилой недвижимости,C,операции с недвижимостью
6378,0,1361.4902472207891,62,1,4,m,сотрудник,0,122157,ремонт жилью,C,операции с недвижимостью
6379,0,3262.160329858339,50,1,1,f,сотрудник,0,88882,операции с недвижимостью,C,операции с недвижимостью
6380,0,2735.379446659817,30,1,1,m,госслужащий,1,108705,заняться образованием,C,операции с недвижимостью
6381,0,3298.96798036969,51,0,4,f,компаньон,0,339311,операции со своей недвижимостью,B,операции с недвижимостью
6382,2,1295.9328997755035,33,1,0,f,сотрудник,0,143501,дополнительное образование,C,операции с недвижимостью
6383,0,383496.5617126402,56,1,0,f,пенсионер,0,85245,покупка своего жилья,C,операции с недвижимостью
6384,0,3281.8593512620646,27,1,4,m,сотрудник,0,256039,автомобили,B,операции с автомобилем
6385,-1,370215.4762262799,48,1,2,f,пенсионер,0,36052,образование,D,операции с недвижимостью
6386,1,8373.62520797907,43,1,0,m,сотрудник,0,137419,на покупку подержанного автомобиля,C,операции с автомобилем
6387,0,849.7642266079094,37,1,4,m,сотрудник,0,134813,недвижимость,C,операции с недвижимостью
6388,0,874.7886716741147,25,0,0,f,сотрудник,0,263853,покупка жилья,B,операции с недвижимостью
6389,1,9471.319776076958,45,1,3,m,сотрудник,0,304689,недвижимость,B,операции с недвижимостью
6390,0,1430.4568107555117,32,0,1,f,госслужащий,0,105020,покупка жилья для сдачи,C,операции с недвижимостью
6391,1,1203.369528770489,40,1,1,f,сотрудник,0,145017,сыграть свадьбу,C,операции с недвижимостью
6392,1,936.3541912727368,48,1,0,m,сотрудник,0,85530,покупка недвижимости,C,операции с недвижимостью
6393,0,382730.85906498,72,1,4,f,пенсионер,0,49805,ремонт жилью,D,операции с недвижимостью
6394,0,580.9279457541769,31,2,4,m,сотрудник,0,122217,ремонт жилью,C,операции с недвижимостью
6395,2,1679.640737282319,36,1,1,f,сотрудник,0,84870,на покупку своего автомобиля,C,операции с автомобилем
6396,1,1304.965265560276,44,1,0,m,сотрудник,0,83241,операции с коммерческой недвижимостью,C,операции с недвижимостью
6397,0,1203.369528770489,41,0,1,f,сотрудник,0,145017,получение высшего образования,C,операции с недвижимостью
6398,0,2063.939868714252,51,0,4,f,компаньон,0,177265,покупка своего жилья,C,операции с недвижимостью
6399,0,334599.9815934518,62,1,0,m,пенсионер,0,108645,приобретение автомобиля,C,операции с автомобилем
6400,1,1216.2333148088003,25,0,1,f,госслужащий,0,80208,на проведение свадьбы,C,операции с недвижимостью
6401,0,3926.2885486048513,54,1,1,m,компаньон,0,190746,свадьба,C,операции с недвижимостью
6402,0,3714.775894103752,57,1,0,f,компаньон,0,352411,строительство жилой недвижимости,B,операции с недвижимостью
6403,0,7794.181541771014,49,1,0,f,компаньон,0,98783,приобретение автомобиля,C,операции с автомобилем
6404,2,1476.7025067234954,34,1,0,m,сотрудник,0,65507,покупка недвижимости,C,операции с недвижимостью
6405,2,249.5279061709532,35,0,0,f,госслужащий,0,108634,строительство недвижимости,C,операции с недвижимостью
6406,0,352239.799750624,73,1,0,f,пенсионер,0,119190,покупка жилья,C,операции с недвижимостью
6407,2,1653.972845015866,0,1,0,f,сотрудник,0,181510,жилье,C,операции с недвижимостью
6408,0,172.9022341068223,50,1,0,m,сотрудник,0,125423,покупка жилой недвижимости,C,операции с недвижимостью
6409,0,344133.56152125885,58,1,0,f,пенсионер,0,138290,недвижимость,C,операции с недвижимостью
6410,1,3926.616124187056,29,1,0,f,сотрудник,0,76599,сделка с автомобилем,C,операции с автомобилем
6411,0,1203.369528770489,0,0,1,f,пенсионер,0,145017,свадьба,C,операции с недвижимостью
6412,0,903.4687428149132,33,1,0,f,компаньон,0,193492,строительство недвижимости,C,операции с недвижимостью
6413,0,363362.0551418845,59,1,0,f,пенсионер,0,89117,на покупку подержанного автомобиля,C,операции с автомобилем
6414,0,378136.4991342464,62,0,0,f,пенсионер,0,216589,недвижимость,B,операции с недвижимостью
6415,0,1203.369528770489,33,1,0,f,сотрудник,0,145017,строительство собственной недвижимости,C,операции с недвижимостью
6416,1,1203.369528770489,41,1,0,f,компаньон,0,145017,строительство собственной недвижимости,C,операции с недвижимостью
6417,0,1203.369528770489,24,1,4,f,сотрудник,0,145017,на покупку своего автомобиля,C,операции с автомобилем
6418,0,364246.5419916628,53,1,0,f,пенсионер,0,98114,покупка коммерческой недвижимости,C,операции с недвижимостью
6419,0,385046.094568968,69,1,0,f,пенсионер,0,88872,операции со своей недвижимостью,C,операции с недвижимостью
6420,2,680.0688944762821,31,1,0,m,сотрудник,0,376879,сделка с подержанным автомобилем,B,операции с автомобилем
6421,0,428.03348149077897,32,0,1,m,сотрудник,0,312283,сделка с подержанным автомобилем,B,операции с автомобилем
6422,1,2541.252295270981,40,1,0,f,сотрудник,0,157138,покупка жилой недвижимости,C,операции с недвижимостью
6423,0,353371.6532302158,58,1,0,m,пенсионер,0,70175,ремонт жилью,C,операции с недвижимостью
6424,0,2054.1543499730387,34,0,4,m,компаньон,0,264694,покупка жилья для семьи,B,операции с недвижимостью
6425,0,1215.7532983401793,51,1,0,f,компаньон,0,111091,высшее образование,C,операции с недвижимостью
6426,0,877.838401921744,33,1,0,f,сотрудник,0,50840,получение образования,C,операции с недвижимостью
6427,1,6128.370611227923,45,1,0,f,сотрудник,0,97576,сделка с подержанным автомобилем,C,операции с автомобилем
6428,20,8545.567550997337,46,1,1,f,сотрудник,0,145733,сыграть свадьбу,C,операции с недвижимостью
6429,0,329930.1206960973,62,1,0,f,пенсионер,0,79437,операции с коммерческой недвижимостью,C,операции с недвижимостью
6430,0,350844.6413112879,58,0,0,f,пенсионер,0,120017,заняться образованием,C,операции с недвижимостью
6431,1,1203.369528770489,36,0,0,f,сотрудник,0,145017,операции с недвижимостью,C,операции с недвижимостью
6432,0,3236.712207827165,67,2,0,f,сотрудник,0,241202,покупка жилой недвижимости,B,операции с недвижимостью
6433,0,1940.7040643238056,25,0,4,f,госслужащий,0,441535,операции со своей недвижимостью,B,операции с недвижимостью
6434,0,395646.1601846912,69,1,3,f,пенсионер,0,54276,автомобили,C,операции с автомобилем
6435,0,359555.26329388475,54,1,0,f,пенсионер,0,97721,жилье,C,операции с недвижимостью
6436,0,11849.116901070724,52,0,0,f,сотрудник,0,190521,покупка жилья,C,операции с недвижимостью
6437,2,3173.437877790225,29,1,0,m,сотрудник,0,79874,покупка своего жилья,C,операции с недвижимостью
6438,1,1600.2341543269729,34,3,1,f,сотрудник,0,145389,свадьба,C,операции с недвижимостью
6439,1,2595.048915906943,32,1,0,m,компаньон,1,88513,на покупку автомобиля,C,операции с автомобилем
6440,0,941.0075887834496,58,1,0,f,сотрудник,0,82460,строительство недвижимости,C,операции с недвижимостью
6441,2,740.4827184487352,31,1,0,m,компаньон,0,72519,автомобили,C,операции с автомобилем
6442,0,263.9867089980123,23,1,1,m,сотрудник,0,157361,свадьба,C,операции с недвижимостью
6443,0,4009.2379448045895,38,0,0,f,компаньон,0,151302,покупка жилья для сдачи,C,операции с недвижимостью
6444,0,8439.316260553625,38,1,0,f,сотрудник,0,217313,покупка жилья,B,операции с недвижимостью
6445,1,640.7697622617272,34,0,0,m,сотрудник,0,187142,покупка своего жилья,C,операции с недвижимостью
6446,0,1042.5953854572724,64,0,0,m,компаньон,0,169459,операции с недвижимостью,C,операции с недвижимостью
6447,0,988.3751657668216,35,2,3,m,сотрудник,0,105593,получение дополнительного образования,C,операции с недвижимостью
6448,1,4172.204302235655,34,0,0,f,сотрудник,0,172746,ремонт жилью,C,операции с недвижимостью
6449,0,1388.814093788763,23,2,4,m,сотрудник,0,142487,получение образования,C,операции с недвижимостью
6450,1,2713.1169545546763,36,1,1,f,компаньон,0,149610,на проведение свадьбы,C,операции с недвижимостью
6451,0,345.181307929462,22,0,0,f,компаньон,0,191662,ремонт жилью,C,операции с недвижимостью
6452,0,1203.369528770489,43,1,1,m,сотрудник,1,145017,на проведение свадьбы,C,операции с недвижимостью
6453,0,2037.5641844491224,25,1,0,m,компаньон,0,123594,ремонт жилью,C,операции с недвижимостью
6454,0,378571.4304302979,62,0,0,f,пенсионер,0,187851,строительство жилой недвижимости,C,операции с недвижимостью
6455,0,1581.6334966756167,34,1,1,f,сотрудник,1,314576,заняться образованием,B,операции с недвижимостью
6456,0,363.40390375804384,22,1,4,m,сотрудник,0,185824,покупка жилья,C,операции с недвижимостью
6457,0,394938.2367124753,53,1,0,f,пенсионер,0,276389,заняться высшим образованием,B,операции с недвижимостью
6458,0,1012.5854649387716,28,1,0,m,сотрудник,0,72220,приобретение автомобиля,C,операции с автомобилем
6459,0,343.5962336492172,28,0,1,f,сотрудник,0,104661,недвижимость,C,операции с недвижимостью
6460,0,344514.09933771833,70,1,2,f,пенсионер,0,157539,автомобили,C,операции с автомобилем
6461,1,1203.369528770489,26,2,4,m,сотрудник,0,145017,заняться высшим образованием,C,операции с недвижимостью
6462,1,1508.642573058842,36,1,3,f,сотрудник,0,79957,заняться высшим образованием,C,операции с недвижимостью
6463,0,3477.593948203005,39,1,1,f,компаньон,0,152677,строительство жилой недвижимости,C,операции с недвижимостью
6464,0,1229.7870782043726,22,1,4,f,сотрудник,0,165712,приобретение автомобиля,C,операции с автомобилем
6465,0,723.9914024216628,28,1,0,m,сотрудник,0,299472,покупка недвижимости,B,операции с недвижимостью
6466,0,339325.8328919368,59,1,0,m,пенсионер,0,138649,операции со своей недвижимостью,C,операции с недвижимостью
6467,1,3038.531741856425,55,0,4,f,сотрудник,0,408753,покупка жилой недвижимости,B,операции с недвижимостью
6468,1,2103.3554396251902,26,1,4,m,госслужащий,0,153711,покупка жилья для сдачи,C,операции с недвижимостью
6469,0,2869.1528590053026,50,0,0,f,сотрудник,0,254769,на покупку своего автомобиля,B,операции с автомобилем
6470,0,367065.2471301787,59,1,0,f,пенсионер,0,169998,получение образования,C,операции с недвижимостью
6471,0,2235.163051992084,55,1,0,m,сотрудник,0,121760,образование,C,операции с недвижимостью
6472,0,390623.2220436269,61,1,4,f,пенсионер,1,56532,заняться образованием,C,операции с недвижимостью
6473,0,1553.8708039484447,35,1,0,m,компаньон,0,280240,заняться образованием,B,операции с недвижимостью
6474,0,183.28563561481903,28,1,1,m,сотрудник,0,82395,профильное образование,C,операции с недвижимостью
6475,2,2843.377652077992,32,1,1,f,сотрудник,0,100172,свадьба,C,операции с недвижимостью
6476,0,2250.4659293280074,25,1,0,f,компаньон,1,143648,покупка недвижимости,C,операции с недвижимостью
6477,0,397237.7807149525,59,1,0,f,пенсионер,0,159636,свой автомобиль,C,операции с автомобилем
6478,0,444.40162767930383,57,1,0,m,сотрудник,1,189847,операции со своей недвижимостью,C,операции с недвижимостью
6479,0,254.03786701595945,25,0,0,f,компаньон,0,123462,автомобили,C,операции с автомобилем
6480,0,394194.17071063217,59,1,1,f,пенсионер,0,92963,свадьба,C,операции с недвижимостью
6481,2,1203.369528770489,47,0,4,f,компаньон,0,145017,на покупку автомобиля,C,операции с автомобилем
6482,0,2088.072298317293,40,1,0,f,сотрудник,0,78828,ремонт жилью,C,операции с недвижимостью
6483,1,1428.4711561189988,34,0,0,m,сотрудник,0,900855,ремонт жилью,B,операции с недвижимостью
6484,1,3464.973887027049,33,1,0,f,сотрудник,0,266535,покупка жилья для сдачи,B,операции с недвижимостью
6485,0,1203.369528770489,58,1,4,f,пенсионер,0,145017,получение дополнительного образования,C,операции с недвижимостью
6486,0,1203.369528770489,36,1,0,f,госслужащий,0,145017,автомобиль,C,операции с автомобилем
6487,0,10691.662779953076,62,1,2,f,сотрудник,0,90894,покупка жилой недвижимости,C,операции с недвижимостью
6488,1,2145.307583916755,24,1,1,f,сотрудник,1,67745,на проведение свадьбы,C,операции с недвижимостью
6489,0,1203.369528770489,44,0,1,m,сотрудник,1,145017,сыграть свадьбу,C,операции с недвижимостью
6490,1,350927.81221017864,57,1,2,f,пенсионер,0,52945,покупка коммерческой недвижимости,C,операции с недвижимостью
6491,1,2344.652366676801,27,1,0,m,сотрудник,1,206076,строительство жилой недвижимости,B,операции с недвижимостью
6492,1,1203.369528770489,43,1,0,f,сотрудник,0,145017,недвижимость,C,операции с недвижимостью
6493,0,358701.5289494315,50,1,1,f,пенсионер,0,89979,на проведение свадьбы,C,операции с недвижимостью
6494,2,608.2999859256032,28,1,1,m,сотрудник,0,259774,свадьба,B,операции с недвижимостью
6495,0,6235.027410298441,49,1,0,f,сотрудник,0,86544,покупка жилья для сдачи,C,операции с недвижимостью
6496,0,1203.369528770489,36,0,4,f,компаньон,0,145017,заняться высшим образованием,C,операции с недвижимостью
6497,0,1111.8704821801994,48,1,0,m,сотрудник,0,118718,покупка жилья,C,операции с недвижимостью
6498,0,2701.7595236934358,35,1,0,m,компаньон,0,98514,автомобиль,C,операции с автомобилем
6499,0,1675.9536050452834,40,1,0,f,компаньон,0,160780,строительство собственной недвижимости,C,операции с недвижимостью
6500,1,340733.17005550145,59,1,4,f,пенсионер,0,75211,сделка с автомобилем,C,операции с автомобилем
6501,0,2439.098146224405,48,0,1,m,компаньон,0,466831,свадьба,B,операции с недвижимостью
6502,0,1181.8488576531197,59,1,0,m,компаньон,0,274587,автомобили,B,операции с автомобилем
6503,1,1815.5037592033327,29,0,0,f,госслужащий,0,125573,строительство жилой недвижимости,C,операции с недвижимостью
6504,2,1067.8282337663763,33,1,0,f,сотрудник,0,94330,профильное образование,C,операции с недвижимостью
6505,1,3129.804682394001,26,0,0,f,компаньон,0,226331,операции с коммерческой недвижимостью,B,операции с недвижимостью
6506,1,6620.3964733045,62,1,0,f,компаньон,0,98373,покупка жилья для семьи,C,операции с недвижимостью
6507,1,2008.1829609673837,46,1,0,m,сотрудник,0,116751,покупка жилья для сдачи,C,операции с недвижимостью
6508,0,1046.2510902982783,38,0,1,f,сотрудник,0,139638,ремонт жилью,C,операции с недвижимостью
6509,0,1542.4428618568866,43,1,1,f,сотрудник,0,77229,на проведение свадьбы,C,операции с недвижимостью
